year,gender,segment,rank_segment,skater,nation,tss,tes,pcs,ded,rank_segment_num,has_deduction,tes_pcs_ratio
2006,M,SP,1,PLUSHENKO Evgeni,RUS,90.66,49.69,40.97,0,1.0,0,1.2128386624359286
2006,M,SP,2,WEIR Johnny,USA,80.0,40.99,39.01,0,2.0,0,1.050756216354781
2006,M,SP,3,LAMBIEL Stephane,SUI,79.04,40.61,38.43,0,3.0,0,1.056726515742909
2006,M,SP,4,JOUBERT Brian,FRA,77.77,40.59,37.18,0,4.0,0,1.091715976331361
2006,M,SP,5,TAKAHASHI Daisuke,JPN,73.77,38.45,35.32,0,5.0,0,1.0886183465458665
2006,M,SP,6,BUTTLE Jeffrey,CAN,73.29,37.01,37.28,1,6.0,1,0.9927575107296136
2006,M,SP,7,SANDHU Emanuel,CAN,69.75,33.0,37.75,1,7.0,1,0.8741721854304636
2006,M,SP,8,SAVOIE Matthew,USA,69.15,35.22,33.93,0,8.0,0,1.0380194518125552
2006,M,SP,9,CHIPER Gheorghe,ROM,67.66,37.12,30.54,0,9.0,0,1.2154551407989522
2006,M,SP,10,LYSACEK Evan,USA,67.55,33.8,34.75,1,10.0,1,0.9726618705035971
2006,M,SP,11,ZHANG Min,CHN,67.39,36.29,31.1,0,11.0,0,1.1668810289389067
2006,M,SP,12,SAWYER Shawn,CAN,67.2,35.02,32.18,0,12.0,0,1.0882535736482288
2006,M,SP,13,VAN DER PERREN Kevin,BEL,65.36,33.5,32.86,1,13.0,1,1.0194765672550212
2006,M,SP,14,DAVYDOV Sergei,BLR,64.65,35.58,29.07,0,14.0,0,1.2239422084623321
2006,M,SP,15,DINEV Ivan,BUL,63.64,34.29,29.35,0,15.0,0,1.168313458262351
2006,M,SP,16,KOVALEVSKI Anton,UKR,63.41,33.95,29.46,0,16.0,0,1.1524100475220638
2006,M,SP,17,PFEIFER Viktor,AUT,62.17,34.28,27.89,0,17.0,0,1.2291143779132305
2006,M,SP,18,KLIMKIN Ilia,RUS,61.61,29.9,31.71,0,18.0,0,0.9429202144433931
2006,M,SP,19,DAMBIER Frederic,FRA,61.17,30.48,31.69,1,19.0,1,0.9618176080782581
2006,M,SP,20,LINDEMANN Stefan,GER,60.52,27.94,32.58,0,20.0,0,0.8575813382443217
2006,M,SP,21,LI Chengjiang,CHN,60.23,30.55,30.68,1,21.0,1,0.9957627118644068
2006,M,SP,22,VERNER Tomas,CZE,59.71,30.25,29.46,0,22.0,0,1.026816021724372
2006,M,SP,23,BERNTSSON Kristoffer,SWE,59.55,31.34,28.21,0,23.0,0,1.1109535625664657
2006,M,SP,24,TOTH Zoltan,HUN,55.07,29.67,25.4,0,24.0,0,1.1681102362204725
2006,M,SP,25,ZELENKA Karel,ITA,53.46,27.96,26.5,1,25.0,1,1.0550943396226415
2006,M,SP,26,ZIVANOVIC Trifun,SCG,53.4,29.44,23.96,0,26.0,0,1.2287145242070117
2006,M,SP,27,OTHMAN Jamal,SUI,52.18,24.46,27.72,0,27.0,0,0.8823953823953825
2006,M,SP,28,MURVANIDZE Vakhtang,GEO,49.68,24.32,26.36,1,28.0,1,0.9226100151745069
2006,M,SP,29,URBAS Gregor,SLO,46.48,20.28,26.2,0,29.0,0,0.7740458015267176
2006,M,SP,30,HAN Jong In,PRK,42.11,19.5,22.62,0,30.0,0,0.8620689655172413
2006,M,FS,1,PLUSHENKO Evgeni,RUS,167.67,85.25,82.42,0,1.0,0,1.0343363261344334
2006,M,FS,2,BUTTLE Jeffrey,CAN,154.3,76.8,78.5,1,2.0,1,0.978343949044586
2006,M,FS,3,LYSACEK Evan,USA,152.58,78.24,74.34,0,3.0,0,1.052461662631154
2006,M,FS,4,LAMBIEL Stephane,SUI,152.17,76.89,76.28,1,4.0,1,1.0079968536969062
2006,M,FS,5,SAVOIE Matthew,USA,137.52,65.8,71.72,0,5.0,0,0.9174567763524818
2006,M,FS,6,WEIR Johnny,USA,136.63,61.27,75.36,0,6.0,0,0.8130307855626328
2006,M,FS,7,JOUBERT Brian,FRA,135.12,62.54,73.58,1,7.0,1,0.8499592280511008
2006,M,FS,8,VAN DER PERREN Kevin,BEL,132.03,66.01,66.02,0,8.0,0,0.9998485307482582
2006,M,FS,9,TAKAHASHI Daisuke,JPN,131.12,58.82,73.3,1,9.0,1,0.802455661664393
2006,M,FS,10,KLIMKIN Ilia,RUS,130.19,65.97,65.22,1,10.0,1,1.0114995400183993
2006,M,FS,11,ZHANG Min,CHN,128.88,65.16,63.72,0,11.0,0,1.0225988700564972
2006,M,FS,12,SAWYER Shawn,CAN,123.63,55.13,68.5,0,12.0,0,0.8048175182481753
2006,M,FS,13,LI Chengjiang,CHN,121.98,66.04,56.94,1,13.0,1,1.1598173515981736
2006,M,FS,14,SANDHU Emanuel,CAN,120.49,52.27,70.22,2,14.0,1,0.7443748219880376
2006,M,FS,15,VERNER Tomas,CZE,120.36,63.14,57.22,0,15.0,0,1.1034603285564488
2006,M,FS,16,DAVYDOV Sergei,BLR,119.94,59.0,60.94,0,16.0,0,0.9681654085986217
2006,M,FS,17,CHIPER Gheorghe,ROM,118.53,54.23,64.3,0,17.0,0,0.8433903576982893
2006,M,FS,18,DINEV Ivan,BUL,116.47,57.97,58.5,0,18.0,0,0.990940170940171
2006,M,FS,19,DAMBIER Frederic,FRA,116.42,55.92,62.5,2,19.0,1,0.8947200000000001
2006,M,FS,20,LINDEMANN Stefan,GER,112.05,51.05,62.0,0,20.0,0,0.8233870967741935
2006,M,FS,21,KOVALEVSKI Anton,UKR,109.43,53.93,57.5,2,21.0,1,0.9379130434782609
2006,M,FS,22,BERNTSSON Kristoffer,SWE,102.4,48.32,56.08,2,22.0,1,0.8616262482168331
2006,M,FS,23,PFEIFER Viktor,AUT,101.7,45.26,57.44,1,23.0,1,0.7879526462395543
2006,M,FS,24,TOTH Zoltan,HUN,90.4,42.2,50.2,2,24.0,1,0.8406374501992032
2006,W,SP,1,COHEN Sasha,USA,66.73,35.33,31.4,0,1.0,0,1.1251592356687898
2006,W,SP,2,SLUTSKAYA Irina,RUS,66.7,36.21,30.49,0,2.0,0,1.1876024926205313
2006,W,SP,3,ARAKAWA Shizuka,JPN,66.02,35.93,30.09,0,3.0,0,1.1940844134263875
2006,W,SP,4,SUGURI Fumie,JPN,61.75,32.61,29.14,0,4.0,0,1.1190803019903912
2006,W,SP,5,MEISSNER Kimmie,USA,59.4,34.2,25.2,0,5.0,0,1.3571428571428572
2006,W,SP,6,GEDEVANISHVILI Elene,GEO,57.9,33.25,24.65,0,6.0,0,1.3488843813387426
2006,W,SP,7,HUGHES Emily,USA,57.08,31.71,25.37,0,7.0,0,1.2499014584154513
2006,W,SP,8,ANDO Miki,JPN,56.0,29.12,26.88,0,8.0,0,1.0833333333333335
2006,W,SP,9,ROCHETTE Joannie,CAN,55.85,28.87,26.98,0,9.0,0,1.070051890289103
2006,W,SP,10,MEIER Sarah,SUI,55.57,30.69,24.88,0,10.0,0,1.2335209003215435
2006,W,SP,11,KOSTNER Carolina,ITA,53.77,26.25,28.52,1,11.0,1,0.9204067321178121
2006,W,SP,12,POYKIO Susanna,FIN,53.74,28.43,25.31,0,12.0,0,1.123271434215725
2006,W,SP,13,LIASHENKO Elena,UKR,52.35,27.47,24.88,0,13.0,0,1.1040996784565917
2006,W,SP,14,LEUNG Mira,CAN,50.61,29.38,21.23,0,14.0,0,1.3838907206782853
2006,W,SP,15,LIU Yan,CHN,49.84,27.24,22.6,0,15.0,0,1.2053097345132742
2006,W,SP,16,SEBESTYEN Julia,HUN,49.58,26.75,23.83,0,16.0,0,1.122534620226605
2006,W,SP,17,HEGEL Idora,CRO,47.06,26.74,20.32,0,17.0,0,1.3159448818897637
2006,W,SP,18,SOKOLOVA Elena,RUS,46.69,21.13,25.56,0,18.0,0,0.8266823161189358
2006,W,SP,19,PAVUK Viktoria,HUN,46.4,26.78,19.62,0,19.0,0,1.36493374108053
2006,W,SP,20,KORPI Kiira,FIN,44.84,23.84,21.0,0,20.0,0,1.1352380952380952
2006,W,SP,21,MAXWELL Fleur,LUX,44.53,24.33,20.2,0,21.0,0,1.2044554455445544
2006,W,SP,22,KARADEMIR Tugba,TUR,44.2,25.7,18.5,0,22.0,0,1.3891891891891892
2006,W,SP,23,FONTANA Silvia,ITA,42.47,19.87,22.6,0,23.0,0,0.8792035398230088
2006,W,SP,24,EFREMENKO Galina,UKR,41.25,20.43,21.82,1,24.0,1,0.9362969752520623
2006,W,SP,25,CARTER Joanne,AUS,40.86,21.21,20.65,1,25.0,1,1.0271186440677966
2006,W,SP,26,LUCA Roxana,ROM,39.37,21.49,17.88,0,26.0,0,1.2019015659955257
2006,W,SP,27,KIM Yong Suk,PRK,39.16,19.37,19.79,0,27.0,0,0.9787771601819102
2006,W,SP,28,GLEBOVA Elena,EST,38.47,21.06,18.41,1,28.0,1,1.1439435089625203
2006,W,SP,29,GIMAZETDINOVA Anastasia,UZB,38.44,19.06,19.38,0,29.0,0,0.9834881320949432
2006,W,FS,1,ARAKAWA Shizuka,JPN,125.32,62.32,63.0,0,1.0,0,0.9892063492063492
2006,W,FS,2,COHEN Sasha,USA,116.63,55.22,62.41,1,2.0,1,0.8847941035090531
2006,W,FS,3,SLUTSKAYA Irina,RUS,114.74,53.87,61.87,1,3.0,1,0.8706966219492485
2006,W,FS,4,SUGURI Fumie,JPN,113.48,54.23,59.25,0,4.0,0,0.9152742616033754
2006,W,FS,5,ROCHETTE Joannie,CAN,111.42,55.29,56.13,0,5.0,0,0.9850347407803313
2006,W,FS,6,MEISSNER Kimmie,USA,106.31,52.77,53.54,0,6.0,0,0.9856182293612253
2006,W,FS,7,HUGHES Emily,USA,103.79,53.82,50.97,1,7.0,1,1.0559152442613302
2006,W,FS,8,MEIER Sarah,SUI,100.56,49.31,51.25,0,8.0,0,0.9621463414634147
2006,W,FS,9,KOSTNER Carolina,ITA,99.73,43.84,55.89,0,9.0,0,0.7843979244945429
2006,W,FS,10,SOKOLOVA Elena,RUS,95.66,45.38,50.28,0,10.0,0,0.9025457438345267
2006,W,FS,11,LIU Yan,CHN,95.46,50.4,45.06,0,11.0,0,1.118508655126498
2006,W,FS,12,LEUNG Mira,CAN,94.55,51.83,42.72,0,12.0,0,1.213249063670412
2006,W,FS,13,GEDEVANISHVILI Elene,GEO,93.56,43.6,49.96,0,13.0,0,0.8726981585268214
2006,W,FS,14,KORPI Kiira,FIN,92.36,48.84,43.52,0,14.0,0,1.1222426470588236
2006,W,FS,15,POYKIO Susanna,FIN,89.48,40.54,49.94,1,15.0,1,0.8117741289547458
2006,W,FS,16,ANDO Miki,JPN,84.2,35.69,50.51,2,16.0,1,0.7065927539101168
2006,W,FS,17,EFREMENKO Galina,UKR,84.12,41.7,42.42,0,17.0,0,0.9830268741159831
2006,W,FS,18,LIASHENKO Elena,UKR,81.73,36.01,45.72,0,18.0,0,0.7876202974628171
2006,W,FS,19,HEGEL Idora,CRO,80.01,39.15,40.86,0,19.0,0,0.9581497797356828
2006,W,FS,20,SEBESTYEN Julia,HUN,79.68,34.86,45.82,1,20.0,1,0.7608031427324312
2006,W,FS,21,KARADEMIR Tugba,TUR,79.44,42.64,36.8,0,21.0,0,1.1586956521739131
2006,W,FS,22,FONTANA Silvia,ITA,77.9,35.67,42.23,0,22.0,0,0.8446601941747574
