year,skater,sp_total,sp_tes,sp_pc,quads_in_sp,fs_total,fs_tes,fs_pc,quads_in_fs,total_quads,total_score,tes_total,pcs_total,tes_pcs_ratio,score_momentum,quad_era
2005,Lambiel,80.28,42.56,37.72,1,144.18,67.32,76.86,2,3,224.46,109.88,114.58,0.9589806248909059,63.900000000000006,0
2005,Buttle,77.39,40.5,36.89,0,136.3,63.42,74.88,0,0,213.69,103.92,111.77,0.9297664847454594,58.91000000000001,0
2005,Sandhu,67.3,33.72,33.58,1,134.13,62.25,72.88,1,2,201.43,95.97,106.46,0.9014653390944957,66.83,0
2005,Lysacek,73.42,38.71,34.71,0,133.74,63.18,70.56,0,0,207.16000000000003,101.89,105.27000000000001,0.9678920870143439,60.32000000000001,0
2005,Van Der Perren,66.51,34.68,31.83,0,133.51,68.71,64.8,0,0,200.01999999999998,103.38999999999999,96.63,1.0699575701128012,66.99999999999999,0
2005,Weir,70.5,35.93,35.57,0,133.36,60.72,72.64,0,0,203.86,96.65,108.21000000000001,0.8931706866278533,62.860000000000014,0
2005,Li,72.61,38.86,33.75,1,130.83,64.27,66.56,2,3,203.44,103.13,100.31,1.02811285016449,58.22000000000001,0
2005,Dambier,68.1,37.03,31.07,1,130.3,63.6,66.7,1,2,198.4,100.63,97.77000000000001,1.0292523268896387,62.20000000000002,0
2005,Goebel,62.95,31.95,32.0,1,129.84,68.04,63.8,1,2,192.79000000000002,99.99000000000001,95.8,1.0437369519832986,66.89,0
2005,Lindemann,53.46,22.18,33.28,1,127.58,62.28,66.3,1,2,181.04,84.46000000000001,99.58,0.8481622815826472,74.12,0
2005,Dinev,55.66,26.27,29.39,0,126.72,65.78,60.94,0,0,182.38,92.05,90.33,1.0190412930366435,71.06,0
2005,Zhang,54.81,27.42,28.39,1,123.17,67.67,55.5,2,3,177.98000000000002,95.09,83.89,1.1335081654547623,68.36,0
2005,Joubert,79.66,41.95,37.71,1,122.63,53.97,70.66,1,2,202.29,95.92,108.37,0.8851158069576451,42.97,0
2005,Berntsson,64.54,35.29,29.25,0,119.22,65.02,54.2,0,0,183.76,100.31,83.45,1.20203714799281,54.67999999999999,0
2005,Dobrin,58.58,28.32,30.26,0,116.92,59.58,57.34,0,0,175.5,87.9,87.60000000000001,1.0034246575342465,58.34,0
2005,Griazev,70.69,37.41,33.28,0,116.39,52.51,64.88,1,1,187.07999999999998,89.91999999999999,98.16,0.9160554197229013,45.7,0
2005,Chiper,56.87,30.25,28.62,0,113.06,55.34,59.72,0,0,169.93,85.59,88.34,0.9688702739415893,56.190000000000005,0
2005,Takahashi,72.18,39.58,32.6,1,108.04,50.12,60.92,0,1,180.22000000000003,89.69999999999999,93.52000000000001,0.9591531223267747,35.86,0
2005,Zelenka,55.55,29.19,26.36,0,106.22,54.36,51.86,0,0,161.76999999999998,83.55,78.22,1.068141140373306,50.67,0
2005,Serov,58.13,32.46,25.67,0,106.19,55.27,50.92,0,0,164.32,87.73,76.59,1.1454497976237106,48.059999999999995,0
2005,Othman,54.89,26.35,28.54,0,104.51,52.49,53.02,0,0,159.4,78.84,81.56,0.9666503187837175,49.620000000000005,0
2005,Davydov,49.59,22.03,28.56,0,99.76,47.56,52.2,0,0,149.35000000000002,69.59,80.76,0.8616889549281822,50.17,0
2005,Pfeifer,54.94,29.9,25.04,0,97.64,51.06,47.58,0,0,152.57999999999998,80.96000000000001,72.62,1.114844395483338,42.7,0
2006,Lambiel,77.41,39.49,37.92,1,156.58,78.7,77.88,2,3,233.99,118.19,115.8,1.0206390328151986,79.17000000000002,0
2006,Joubert,80.31,42.88,37.43,1,156.47,79.99,76.48,2,3,236.78,122.87,113.91,1.0786585901150032,76.16,0
2006,Lysacek,70.32,34.07,36.25,0,149.97,76.97,73.0,1,1,220.29,111.03999999999999,109.25,1.0163844393592676,79.65,0
2006,Sandhu,78.41,41.87,37.54,1,142.53,66.83,75.7,1,2,220.94,108.69999999999999,113.24000000000001,0.959908159660897,64.12,0
2006,Oda,78.25,41.49,36.76,0,136.73,66.43,70.3,0,0,214.98,107.92000000000002,107.06,1.0080328787595743,58.47999999999999,0
2006,Preaubert,61.62,31.15,31.47,0,136.15,73.23,62.92,0,0,197.77,104.38,94.39,1.1058374827841932,74.53,0
2006,Buttle,73.3,36.3,38.0,0,133.81,58.61,75.2,0,0,207.11,94.91,113.2,0.8384275618374558,60.510000000000005,0
2006,Weir,73.53,36.85,36.68,0,128.66,56.88,72.78,1,1,202.19,93.73,109.46000000000001,0.8562945368171021,55.129999999999995,0
2006,Savoie,69.25,35.87,33.38,0,128.08,60.72,68.36,0,0,197.33,96.59,101.74000000000001,0.9493807745232946,58.83000000000001,0
2006,Klimkin,68.72,34.69,34.03,1,126.41,58.99,67.42,1,2,195.13,93.68,101.45,0.923410547067521,57.69,0
2006,Davydov,66.07,35.0,31.07,0,125.54,63.2,62.34,0,0,191.61,98.2,93.41,1.051279306284124,59.47000000000001,0
2006,Chiper,64.95,33.34,31.61,0,125.29,59.31,65.98,0,0,190.24,92.65,97.59,0.949380059432319,60.34,0
2006,Zhang,59.7,28.41,31.29,1,124.78,62.22,62.56,2,3,184.48000000000002,90.63,93.85,0.9656899307405434,65.08,0
2006,Verner,67.05,35.29,31.76,0,124.5,61.78,64.72,1,1,191.55,97.07,96.48,1.0061152570480927,57.45,0
2006,Li,73.39,39.6,33.79,1,124.21,59.15,65.06,1,2,197.6,98.75,98.85,0.9989883662114315,50.81999999999999,0
2006,Griazev,57.96,29.02,29.94,1,121.58,63.14,58.44,0,1,179.54,92.16,88.38,1.0427698574338087,63.62,0
2006,Sawyer,53.23,23.01,31.22,0,120.02,57.46,62.56,0,0,173.25,80.47,93.78,0.8580720835999147,66.78999999999999,0
2006,Dinev,60.57,31.4,29.17,0,118.9,60.18,58.72,1,1,179.47,91.58,87.89,1.0419842985550118,58.330000000000005,0
2006,Kovalevski,65.67,35.21,30.46,0,117.82,57.16,60.66,0,0,183.49,92.37,91.12,1.013718173836699,52.14999999999999,0
2006,Serov,64.36,34.4,29.96,0,114.23,53.09,62.14,0,0,178.59,87.49000000000001,92.1,0.9499457111834964,49.870000000000005,0
2006,Smalun,65.92,35.18,30.74,0,112.11,50.33,61.78,0,0,178.03,85.50999999999999,92.52,0.9242325983571119,46.19,0
2006,Berntsson,56.21,27.53,28.68,0,110.37,54.93,56.44,0,0,166.58,82.46000000000001,85.12,0.96875,54.160000000000004,0
2006,Urbas,59.6,31.17,28.43,0,110.22,56.32,54.9,0,0,169.82,87.49000000000001,83.33,1.0499219968798754,50.62,0
2006,Zivanovic,56.39,31.46,24.93,0,101.44,49.44,53.0,0,0,157.82999999999998,80.9,77.93,1.0381111253689208,45.05,0
2007,Takahashi,74.51,36.94,37.57,0,163.44,86.52,76.92,1,1,237.95,123.46,114.49000000000001,1.0783474539261069,88.92999999999999,0
2007,Lambiel,72.7,35.85,37.85,0,160.65,82.49,78.16,2,2,233.35000000000002,118.34,116.00999999999999,1.0200844754762521,87.95,0
2007,Joubert,83.64,44.85,38.79,1,157.21,80.57,76.64,1,2,240.85000000000002,125.41999999999999,115.43,1.0865459585896213,73.57000000000001,0
2007,Verner,70.45,34.99,35.46,0,155.8,84.3,72.5,2,2,226.25,119.28999999999999,107.96000000000001,1.104946276398666,85.35000000000001,0
2007,Lysacek,73.49,37.42,36.07,1,148.69,77.05,71.64,1,2,222.18,114.47,107.71000000000001,1.0627611178163587,75.2,0
